i,timestamp,btc_price_prev,btc_price_now,sol_price_prev,sol_price_now,btc_position_before,sol_position_before,btc_equity_start,sol_equity_start,btc_price_return,sol_price_return,btc_pnl_from_price,sol_pnl_from_price,btc_equity_after_pnl,sol_equity_after_pnl,btc_exposure,sol_exposure,btc_target_position,sol_target_position,btc_trade_notional,sol_trade_notional,btc_trade_cost,sol_trade_cost,btc_position_after,sol_position_after,btc_equity_final,sol_equity_final,total_equity
0,2023-11-22 04:00:00,49137000.0,49137000.0,70110.0,70110.0,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
1,2023-11-22 08:00:00,49137000.0,49151000.0,70110.0,73150.0,0.0,0.0,8000000.0,2000000.0,0.0002849176791419908,0.04336043360433604,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
2,2023-11-22 12:00:00,49151000.0,49217000.0,73150.0,73720.0,0.0,0.0,8000000.0,2000000.0,0.0013428007568513356,0.007792207792207792,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
3,2023-11-22 16:00:00,49217000.0,49928000.0,73720.0,73460.0,0.0,0.0,8000000.0,2000000.0,0.014446227929373997,-0.00352685838307108,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
4,2023-11-22 20:00:00,49928000.0,50042000.0,73460.0,74000.0,0.0,0.0,8000000.0,2000000.0,0.0022832879346258612,0.007350939286686632,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
5,2023-11-23 00:00:00,50042000.0,49880000.0,74000.0,76730.0,0.0,0.0,8000000.0,2000000.0,-0.0032372806842252506,0.03689189189189189,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
6,2023-11-23 04:00:00,49880000.0,49944000.0,76730.0,77030.0,0.0,0.0,8000000.0,2000000.0,0.0012830793905372895,0.003909813632216865,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
7,2023-11-23 08:00:00,49944000.0,50005000.0,77030.0,77070.0,0.0,0.0,8000000.0,2000000.0,0.001221367932083934,0.0005192782032974166,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
8,2023-11-23 12:00:00,50005000.0,49576000.0,77070.0,77340.0,0.0,0.0,8000000.0,2000000.0,-0.00857914208579142,0.0035033086804203972,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
9,2023-11-23 16:00:00,49576000.0,49899000.0,77340.0,77480.0,0.0,0.0,8000000.0,2000000.0,0.006515249314184283,0.0018101887768295836,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
10,2023-11-23 20:00:00,49899000.0,49929000.0,77480.0,75880.0,0.0,0.0,8000000.0,2000000.0,0.0006012144531954548,-0.020650490449148167,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
11,2023-11-24 00:00:00,49929000.0,49999000.0,75880.0,75450.0,0.0,0.0,8000000.0,2000000.0,0.0014019908269743036,-0.005666842382709541,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
12,2023-11-24 04:00:00,49999000.0,50175000.0,75450.0,75740.0,0.0,0.0,8000000.0,2000000.0,0.003520070401408028,0.0038436050364479787,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
13,2023-11-24 08:00:00,50175000.0,50665000.0,75740.0,76690.0,0.0,0.0,8000000.0,2000000.0,0.009765819631290484,0.012542909955109585,0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
14,2023-11-24 12:00:00,50665000.0,51181000.0,76690.0,76650.0,0.0,0.0,8000000.0,2000000.0,0.010184545544261325,-0.0005215803885773895,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
15,2023-11-24 16:00:00,51181000.0,50720000.0,76650.0,77820.0,0.0,0.0,8000000.0,2000000.0,-0.009007248783728336,0.015264187866927592,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
16,2023-11-24 20:00:00,50720000.0,50601000.0,77820.0,77870.0,0.0,0.0,8000000.0,2000000.0,-0.0023462145110410095,0.0006425083526085839,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
17,2023-11-25 00:00:00,50601000.0,50715000.0,77870.0,76720.0,0.0,0.0,8000000.0,2000000.0,0.00225291990276872,-0.014768203415949659,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
18,2023-11-25 04:00:00,50715000.0,50633000.0,76720.0,76200.0,0.0,0.0,8000000.0,2000000.0,-0.0016168786355121758,-0.006777893639207508,-0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
19,2023-11-25 08:00:00,50633000.0,50347000.0,76200.0,78810.0,0.0,0.0,8000000.0,2000000.0,-0.005648490115142298,0.03425196850393701,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
20,2023-11-25 12:00:00,50347000.0,50463000.0,78810.0,78460.0,0.0,0.0,8000000.0,2000000.0,0.002304010169424196,-0.004441060779088948,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
21,2023-11-25 16:00:00,50463000.0,50600000.0,78460.0,77390.0,0.0,0.0,8000000.0,2000000.0,0.0027148603927630143,-0.013637522304358909,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
22,2023-11-25 20:00:00,50600000.0,50533000.0,77390.0,78300.0,0.0,0.0,8000000.0,2000000.0,-0.001324110671936759,0.011758625145367619,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
23,2023-11-26 00:00:00,50533000.0,50469000.0,78300.0,78940.0,0.0,0.0,8000000.0,2000000.0,-0.001266499119387331,0.008173690932311623,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
24,2023-11-26 04:00:00,50469000.0,50521000.0,78940.0,78640.0,0.0,0.0,8000000.0,2000000.0,0.0010303354534466702,-0.003800354699771979,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
25,2023-11-26 08:00:00,50521000.0,50365000.0,78640.0,77980.0,0.0,0.0,8000000.0,2000000.0,-0.0030878248649076623,-0.00839267548321465,-0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
26,2023-11-26 12:00:00,50365000.0,50257000.0,77980.0,78030.0,0.0,0.0,8000000.0,2000000.0,-0.002144346272212846,0.0006411900487304436,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
27,2023-11-26 16:00:00,50257000.0,50200000.0,78030.0,77290.0,0.0,0.0,8000000.0,2000000.0,-0.0011341703643273574,-0.009483531974881457,-0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
28,2023-11-26 20:00:00,50200000.0,50210000.0,77290.0,76670.0,0.0,0.0,8000000.0,2000000.0,0.00019920318725099602,-0.008021736317764264,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
29,2023-11-27 00:00:00,50210000.0,50145000.0,76670.0,76800.0,0.0,0.0,8000000.0,2000000.0,-0.0012945628360884285,0.0016955784531107344,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
30,2023-11-27 04:00:00,50145000.0,50047000.0,76800.0,77230.0,0.0,0.0,8000000.0,2000000.0,-0.001954332435935786,0.005598958333333333,-0.0,0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
31,2023-11-27 08:00:00,50047000.0,49780000.0,77230.0,76080.0,0.0,0.0,8000000.0,2000000.0,-0.005334985113992847,-0.014890586559627089,-0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
32,2023-11-27 12:00:00,49780000.0,49541000.0,76080.0,75090.0,0.0,0.0,8000000.0,2000000.0,-0.0048011249497790275,-0.013012618296529969,-0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
33,2023-11-27 16:00:00,49541000.0,49912000.0,75090.0,73990.0,0.0,0.0,8000000.0,2000000.0,0.007488746694656951,-0.014649087761353043,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
34,2023-11-27 20:00:00,49912000.0,50275000.0,73990.0,72830.0,0.0,0.0,8000000.0,2000000.0,0.007272800128225677,-0.01567779429652656,0.0,-0.0,8000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2000000.0,10000000.0
35,2023-11-28 00:00:00,50275000.0,49915000.0,72830.0,73220.0,0.0,0.0,8000000.0,2000000.0,-0.007160616608652411,0.005354936152684333,-0.0,0.0,8000000.0,2000000.0,0.0,10.0,0.0,200000.0,0.0,200000.0,0.0,120.00000000000001,0.0,199988.0,8000000.0,1999880.0,9999880.0
36,2023-11-28 04:00:00,49915000.0,49898000.0,73220.0,74340.0,0.0,199988.0,8000000.0,1999880.0,-0.00034057898427326453,0.015296367112810707,-0.0,3059.0898661567876,8000000.0,2002939.0898661567,0.0,0.0,0.0,0.0,0.0,-199988.0,0.0,119.99280000000002,0.0,0.0,8000000.0,2002819.0970661568,10002819.097066157
37,2023-11-28 08:00:00,49898000.0,50073000.0,74340.0,73820.0,0.0,0.0,8000000.0,2002819.0970661568,0.003507154595374564,-0.006994888350820554,0.0,-0.0,8000000.0,2002819.0970661568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2002819.0970661568,10002819.097066157
38,2023-11-28 12:00:00,50073000.0,50294000.0,73820.0,74090.0,0.0,0.0,8000000.0,2002819.0970661568,0.004413556207936413,0.003657545380655649,0.0,0.0,8000000.0,2002819.0970661568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2002819.0970661568,10002819.097066157
39,2023-11-28 16:00:00,50294000.0,50870000.0,74090.0,75470.0,0.0,0.0,8000000.0,2002819.0970661568,0.011452658368791505,0.018625995410986636,0.0,0.0,8000000.0,2002819.0970661568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2002819.0970661568,10002819.097066157
40,2023-11-28 20:00:00,50870000.0,50576000.0,75470.0,75150.0,0.0,0.0,8000000.0,2002819.0970661568,-0.005779437782583055,-0.004240095402146548,-0.0,-0.0,8000000.0,2002819.0970661568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2002819.0970661568,10002819.097066157
41,2023-11-29 00:00:00,50576000.0,50587000.0,75150.0,77500.0,0.0,0.0,8000000.0,2002819.0970661568,0.00021749446377728566,0.03127079174983367,0.0,0.0,8000000.0,2002819.0970661568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2002819.0970661568,10002819.097066157
42,2023-11-29 04:00:00,50587000.0,50854000.0,77500.0,77710.0,0.0,0.0,8000000.0,2002819.0970661568,0.005278035859015162,0.002709677419354839,0.0,0.0,8000000.0,2002819.0970661568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000.0,2002819.0970661568,10002819.097066157
